1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	14
14	16
16	18
18	20
20	22
22	24
24	26
26	28
28	30
11	13
13	15
15	17
17	19
19	21
21	23
23	25
25	27
27	29
29	31
