0.000000	0.016411	0.032821	0.049228	0.065629	0.082022	0.098406	0.114777	0.131133	0.147470	0.163784	0.180069	0.196322	0.212534	0.228700	0.244811	0.260858	0.276831	0.292718	0.308507	0.324183	0.339731	0.355132	0.370368	0.385418	0.400259	0.414865	0.429210	0.443264	0.456995	0.470370	0.483351	0.495901	0.507979	0.519541	0.530544	0.540941	0.550686	0.559730	0.568025	0.575525	0.582184	0.587959	0.592811	0.596703	0.599606	0.601496	0.602355	0.602175	0.600955	0.600955	0.599148	0.596430	0.592863	0.588505	0.583416	0.577655	0.571277	0.564335	0.556881	0.548963	0.540625	0.531911	0.522859	0.513509	0.503893	0.494046	0.483998	0.473778	0.463415	0.452935	0.442363	0.431724	0.421044	0.410344	0.399650	0.388985	0.378373	0.367838	0.357406	0.347102	0.336954	0.326990	0.317240	0.307733	0.298504	0.289586	0.281013	0.272824	0.265054	0.257741	0.250924	0.244636	0.238913	0.233784	0.229273	0.225399	0.222173	0.219594	0.217654	0.217654	0.217235	0.219962	0.225263	0.232382	0.240474	0.248672	0.256152	0.262177	0.266153	0.267690	0.266676	0.263353	0.258378	0.252847	0.248244	0.246279	0.248576	0.256285	0.269778	0.288608	0.311729	0.337796	0.365405	0.393229	0.420064	0.444842	0.466641	0.484690	0.498399	0.507381	0.511477	0.510758	0.505499	0.496136	0.483210	0.467311	0.449041	0.428984	0.407702	0.385734	0.363607	0.341852	0.321023	0.301711	0.284550	0.270209	0.259350	0.252559	0.250246	0.250246	0.250192	0.250029	0.249756	0.249371	0.248868	0.248245	0.247494	0.246610	0.245585	0.244410	0.243076	0.241574	0.239892	0.238020	0.235947	0.233659	0.231147	0.228396	0.225396	0.222134	0.218599	0.214779	0.210664	0.206245	0.201513	0.196460	0.191080	0.185369	0.179323	0.172941	0.166224	0.159173	0.151795	0.144094	0.136079	0.127761	0.119152	0.110266	0.101120	0.091732	0.082121	0.072308	0.062315	0.052165	0.041881	0.031487	0.021004	0.010427	0.000000
0.000001	0.068891	0.137735	0.206425	0.274890	0.343053	0.410836	0.478157	0.544927	0.611052	0.676423	0.740910	0.804332	0.866397	0.926502	0.982950	1.029907	1.057738	1.072627	1.083625	1.093523	1.103131	1.112739	1.122469	1.132376	1.142485	1.152805	1.163339	1.174082	1.185027	1.196167	1.207491	1.218989	1.230649	1.242460	1.254410	1.266486	1.278676	1.290968	1.303349	1.315806	1.328327	1.340899	1.353509	1.366143	1.378791	1.391437	1.404070	1.416676	1.429241	1.429241	1.438800	1.448147	1.457096	1.465444	1.472985	1.479526	1.484911	1.489038	1.491876	1.493457	1.493866	1.493223	1.491659	1.489306	1.486285	1.482702	1.478646	1.474193	1.469405	1.464333	1.459016	1.453488	1.447776	1.441902	1.435883	1.429733	1.423462	1.417082	1.410597	1.404015	1.397339	1.390573	1.383721	1.376783	1.369763	1.362662	1.355480	1.348220	1.340883	1.333471	1.325985	1.318429	1.310805	1.303117	1.295371	1.287571	1.279726	1.271844	1.263934	1.263934	1.253369	1.242437	1.231325	1.220296	1.209693	1.199943	1.191545	1.185052	1.181031	1.180018	1.182460	1.188657	1.198727	1.212585	1.229948	1.250358	1.273206	1.297753	1.323135	1.348356	1.372265	1.393543	1.410779	1.422738	1.428877	1.429839	1.427376	1.423697	1.420808	1.420183	1.422729	1.428859	1.438605	1.451726	1.467806	1.486342	1.506804	1.528671	1.551459	1.574724	1.598061	1.621096	1.643470	1.664806	1.684666	1.702450	1.717222	1.727472	1.731240	1.731240	1.722770	1.703364	1.679825	1.654844	1.629401	1.603910	1.578573	1.553503	1.528768	1.504417	1.480482	1.456992	1.433969	1.411431	1.389397	1.367882	1.346902	1.326470	1.306600	1.287305	1.268598	1.250490	1.232992	1.216116	1.199872	1.184268	1.169312	1.155014	1.141378	1.128410	1.116115	1.104496	1.093556	1.083295	1.073714	1.064812	1.056589	1.049041	1.042166	1.035961	1.030422	0.982320	0.847174	0.709415	0.569666	0.428443	0.286180	0.143252	0.000001
1.009697	1.009945	1.010690	1.011931	1.013668	1.015902	1.018634	1.021866	1.025605	1.029862	1.034662	1.040047	1.046109	1.053048	1.061378	1.072700	1.092756	1.131085	1.181412	1.234592	1.287745	1.339975	1.390908	1.440347	1.488166	1.534278	1.578618	1.621142	1.661818	1.700630	1.737572	1.772653	1.805891	1.837315	1.866962	1.873478	1.854764	1.836841	1.819763	1.803581	1.788342	1.774093	1.760872	1.748716	1.737654	1.727710	1.718899	1.711228	1.704696	1.699293	1.699293	1.696010	1.693670	1.692418	1.692412	1.693814	1.696772	1.701398	1.707750	1.715817	1.725526	1.736753	1.749342	1.763123	1.777932	1.793614	1.810030	1.827059	1.844596	1.862546	1.880830	1.899375	1.918116	1.936994	1.955949	1.974926	1.993866	2.012708	2.031383	2.049809	2.067890	2.085504	2.102498	2.118674	2.133782	2.147527	2.159593	2.169712	2.177745	2.183732	2.187878	2.190466	2.191786	2.192090	2.191575	2.190395	2.188664	2.186466	2.183866	2.180913	2.180913	2.176410	2.171194	2.165441	2.159265	2.152720	2.145809	2.138470	2.130569	2.121882	2.112069	2.100643	2.086952	2.070190	2.049505	2.024233	1.994229	1.960088	1.923080	1.884880	1.847301	1.812180	1.781349	1.756604	1.739483	1.730788	1.730124	1.735972	1.746321	1.759305	1.773472	1.787797	1.801582	1.814362	1.825828	1.835776	1.844072	1.850633	1.855407	1.858374	1.859534	1.858914	1.856570	1.852599	1.847161	1.840525	1.833157	1.825893	1.820175	1.817921	1.817921	1.826764	1.847285	1.872683	1.900265	1.929051	1.958625	1.988785	2.019415	2.050443	2.081822	2.113511	2.145482	2.177707	2.210161	2.211132	2.207796	2.204009	2.199700	2.194787	2.189165	2.182707	2.175254	2.166609	2.156520	2.144670	2.130654	2.113954	2.093912	2.069693	2.040260	2.004373	1.960627	1.907587	1.844001	1.769085	1.682726	1.585528	1.478637	1.363480	1.241517	1.114082	1.025545	1.021328	1.017767	1.014857	1.012598	1.010985	1.010019	1.009697
2.507459	2.506494	2.503608	2.498830	2.492206	2.483799	2.473686	2.461953	2.448700	2.434029	2.418049	2.400871	2.382605	2.363360	2.343246	2.322365	2.300820	2.278707	2.256119	2.233146	2.209873	2.186380	2.162746	2.139044	2.115348	2.091725	2.068242	2.044964	2.021956	1.999277	1.976989	1.955152	1.933825	1.913065	1.892931	1.894879	1.921118	1.945737	1.968800	1.990371	2.010518	2.029310	2.046815	2.063102	2.078236	2.092281	2.105302	2.117357	2.128503	2.138795	2.138795	2.146257	2.153490	2.160478	2.167209	2.173676	2.179872	2.185792	2.191435	2.196800	2.201889	2.206704	2.211247	2.215524	2.219539	2.223299	2.226811	2.230081	2.233119	2.235933	2.238534	2.240934	2.243146	2.245187	2.247074	2.248830	2.250482	2.252066	2.253625	2.255217	2.256918	2.258828	2.261083	2.263863	2.267398	2.271968	2.277870	2.285357	2.294551	2.305392	2.317660	2.331053	2.345262	2.360017	2.375095	2.390323	2.405563	2.420701	2.435643	2.450308	2.450308	2.468203	2.483723	2.496412	2.505812	2.511439	2.512792	2.509384	2.500801	2.486820	2.467547	2.443558	2.415994	2.386527	2.357166	2.329884	2.306168	2.286714	2.271460	2.259873	2.251261	2.244971	2.240453	2.237276	2.235105	2.233682	2.232806	2.232322	2.232105	2.232061	2.232112	2.232203	2.232292	2.232350	2.232359	2.232313	2.232211	2.232060	2.231870	2.231654	2.231426	2.231199	2.230985	2.230791	2.230625	2.230488	2.230383	2.230309	2.230265	2.230250	2.230250	2.230181	2.229974	2.229626	2.229133	2.228491	2.227692	2.226728	2.225587	2.224257	2.222720	2.220959	2.218950	2.216665	2.214072	2.242822	2.275666	2.308671	2.341812	2.375066	2.408406	2.441805	2.475235	2.508665	2.542061	2.575386	2.608602	2.641666	2.674529	2.707141	2.739443	2.771370	2.802853	2.833810	2.864152	2.835347	2.769159	2.713923	2.668550	2.631677	2.601914	2.577998	2.558866	2.543666	2.531732	2.522557	2.515768	2.511095	2.508360	2.507459
3.143175	3.143545	3.144656	3.146512	3.149121	3.152494	3.156643	3.161585	3.167339	3.173926	3.181371	3.189700	3.198941	3.209125	3.220284	3.232450	3.245656	3.259935	3.275318	3.291834	3.309510	3.328367	3.348422	3.369684	3.392155	3.415827	3.440683	3.466694	3.493819	3.522005	3.551187	3.581286	3.612213	3.643866	3.676135	3.708899	3.742033	3.775402	3.808871	3.842300	3.875552	3.908488	3.940976	3.972887	4.004099	4.034500	4.063986	4.092464	4.119856	4.146091	4.146091	4.165156	4.183076	4.199869	4.215560	4.230186	4.243785	4.256400	4.268079	4.278867	4.288810	4.297954	4.306343	4.314020	4.321024	4.327393	4.333164	4.338368	4.343039	4.347206	4.350897	4.354137	4.356953	4.359367	4.361403	4.363082	4.364424	4.365450	4.366178	4.366629	4.366820	4.366769	4.366494	4.366012	4.365339	4.364493	4.363488	4.362342	4.361068	4.359679	4.358190	4.356609	4.354945	4.353200	4.351370	4.349434	4.347346	4.345004	4.342167	4.338199	4.338199	4.319095	4.257151	4.168984	4.074977	3.981619	3.891983	3.808240	3.732169	3.665240	3.608575	3.562869	3.528343	3.504769	3.491576	3.487992	3.493176	3.506320	3.526692	3.553653	3.586637	3.625121	3.668595	3.716520	3.768301	3.823252	3.880580	3.939364	3.998555	4.056990	4.113434	4.166654	4.215542	4.259244	4.297280	4.329580	4.356441	4.378407	4.396140	4.410313	4.421551	4.430396	4.437304	4.442645	4.446720	4.449762	4.451954	4.453429	4.454278	4.454555	4.454555	4.454314	4.453591	4.452385	4.450693	4.448510	4.445833	4.442656	4.438972	4.434774	4.430055	4.424804	4.419014	4.412674	4.405775	4.398308	4.390264	4.381633	4.372407	4.362580	4.352147	4.341105	4.329453	4.251493	4.113806	3.976780	3.841031	3.707244	3.576219	3.448905	3.326438	3.210146	3.101508	3.002030	2.913027	2.893778	2.922574	2.950414	2.977153	3.002631	3.026670	3.049075	3.069632	3.088116	3.104294	3.117932	3.128810	3.136736	3.141557	3.143175
3.962477	3.963305	3.965782	3.969876	3.975543	3.982718	3.991324	4.001273	4.012467	4.024803	4.038175	4.052475	4.067596	4.083435	4.099892	4.116874	4.134293	4.152068	4.170125	4.188398	4.206830	4.225367	4.243968	4.262594	4.281216	4.299810	4.318357	4.336845	4.355266	4.373618	4.391900	4.410118	4.428280	4.446395	4.464478	4.482544	4.500608	4.518691	4.536811	4.554990	4.573248	4.591608	4.610093	4.628725	4.647528	4.666524	4.685738	4.705191	4.724907	4.744909	4.744909	4.760387	4.775907	4.791416	4.806858	4.822182	4.837339	4.852284	4.866977	4.881382	4.895468	4.909209	4.922579	4.935559	4.948128	4.960270	4.971966	4.983197	4.993944	5.004183	5.013887	5.023024	5.031555	5.039432	5.046599	5.052986	5.058511	5.063071	5.066547	5.068792	5.069632	5.068862	5.066237	5.061476	5.054255	5.044212	5.030959	5.014094	4.993234	4.968046	4.938287	4.903843	4.864749	4.821192	4.773497	4.722101	4.667525	4.610375	4.551389	4.491685	4.491685	4.423950	4.395421	4.392010	4.395623	4.401846	4.409502	4.418169	4.427653	4.437848	4.448681	4.460095	4.472042	4.484476	4.497355	4.510640	4.524296	4.538292	4.552605	4.567220	4.582139	4.597381	4.612990	4.629048	4.645681	4.663074	4.681485	4.701258	4.722834	4.746749	4.773609	4.804036	4.838580	4.877602	4.921186	4.969114	5.020917	5.075993	5.133726	5.193573	5.255107	5.318020	5.382115	5.447276	5.513445	5.580597	5.648720	5.717770	5.787517	5.848048	5.848048	5.847580	5.846178	5.843850	5.840609	5.836471	5.826730	5.806693	5.780482	5.746404	5.702496	5.646808	5.577908	5.495400	5.400094	5.293710	5.178333	5.055974	4.928358	4.796877	4.662636	4.526519	4.389260	4.317192	4.304328	4.290872	4.276836	4.262240	4.247110	4.231478	4.215383	4.198874	4.182008	4.164854	4.147492	4.130015	4.112530	4.095162	4.078052	4.061357	4.045258	4.029949	4.015646	4.002577	3.990976	3.981079	3.973107	3.967256	3.963680	3.962477
5.448716	5.449320	5.451130	5.454149	5.458378	5.463818	5.470471	5.478341	5.487429	5.497738	5.509269	5.522022	5.535997	5.551192	5.567603	5.585225	5.604049	5.624066	5.645262	5.667620	5.691121	5.715742	5.741458	5.768239	5.796051	5.824859	5.854623	5.885298	5.916839	5.949195	5.982313	6.016134	6.023569	6.026267	6.029812	6.034270	6.039711	6.046200	6.053806	6.062595	6.072631	6.083976	6.096688	6.110820	6.126419	6.143525	6.162172	6.182381	6.204168	6.227535	6.227535	6.245231	6.261205	6.275353	6.287643	6.298104	6.306813	6.313877	6.319417	6.323556	6.326416	6.328109	6.328736	6.328388	6.327145	6.325078	6.322246	6.318702	6.314491	6.309647	6.304198	6.298161	6.291541	6.284326	6.276480	6.267933	6.258559	6.248141	6.236317	6.222471	6.205612	6.184293	6.156961	6.122997	6.083510	6.040700	5.996739	5.953314	5.911658	5.872667	5.836972	5.804976	5.776870	5.752660	5.732196	5.715212	5.701376	5.690322	5.681686	5.675118	5.675118	5.672066	5.676180	5.685294	5.697351	5.710458	5.722963	5.733580	5.741507	5.746465	5.748628	5.748460	5.746564	5.743567	5.740066	5.736602	5.733666	5.731706	5.731134	5.732346	5.735723	5.741640	5.750473	5.762601	5.778404	5.798263	5.822557	5.851655	5.885901	5.925604	5.971014	6.022292	6.079477	6.142424	6.210718	6.283495	6.358999	6.433261	6.495739	6.521550	6.495353	6.439412	6.372131	6.300389	6.226842	6.152720	6.078694	6.005196	5.932695	5.871232	5.871232	5.870184	5.866981	5.861444	5.853254	5.841920	5.831459	5.825600	5.818924	5.811467	5.803268	5.794370	5.784820	5.774666	5.763963	5.752763	5.741124	5.729104	5.716764	5.704163	5.691363	5.678424	5.665408	5.652375	5.639383	5.626490	5.613751	5.601219	5.588945	5.576977	5.565359	5.554135	5.543341	5.533014	5.523185	5.513884	5.505135	5.496963	5.489385	5.482420	5.476082	5.470383	5.465334	5.460943	5.457217	5.454162	5.451782	5.450079	5.449057	5.448716
6.078444	6.078299	6.077865	6.077146	6.076147	6.074876	6.073344	6.071561	6.069543	6.067306	6.064869	6.062252	6.059479	6.056573	6.053561	6.050473	6.047338	6.044189	6.041062	6.037992	6.035018	6.032179	6.029520	6.027084	6.024917	6.023069	6.021590	6.020533	6.019953	6.019906	6.020452	6.021652	6.050599	6.085642	6.121195	6.157184	6.193531	6.230154	6.266962	6.303860	6.340743	6.377499	6.414004	6.450124	6.485710	6.520600	6.554613	6.587550	6.619192	6.649298	6.649298	6.672638	6.697767	6.724478	6.752434	6.781172	6.810115	6.838585	6.865825	6.891016	6.913311	6.931872	6.945917	6.954776	6.957940	6.955102	6.946166	6.931238	6.910593	6.884627	6.853815	6.818672	6.779729	6.737515	6.692563	6.645412	6.596635	6.546877	6.496920	6.447792	6.400905	6.358137	6.321490	6.292060	6.269243	6.251367	6.236814	6.224449	6.213572	6.203763	6.194773	6.186451	6.178708	6.171493	6.164775	6.158543	6.152794	6.147531	6.142764	6.138502	6.138502	6.134133	6.131781	6.132076	6.135839	6.144010	6.157513	6.177086	6.203110	6.235534	6.273922	6.317591	6.365748	6.417594	6.472371	6.529375	6.587948	6.647465	6.707307	6.766847	6.825420	6.882303	6.936685	6.987640	7.034098	7.074828	7.108442	7.133446	7.148362	7.151939	7.143410	7.122714	7.090579	7.048426	6.998183	6.942178	6.883372	6.826561	6.782701	6.776676	6.823430	6.899905	6.986498	7.074685	7.159663	7.237502	7.304298	7.356042	7.388977	7.400305	7.400305	7.384379	7.338950	7.269747	7.183386	7.085759	6.981630	6.874865	6.768803	6.666544	6.571059	6.485030	6.410437	6.348100	6.297540	6.257312	6.225564	6.200489	6.180555	6.164552	6.151565	6.140906	6.132066	6.124661	6.118402	6.113068	6.108491	6.104537	6.101102	6.098104	6.095476	6.093165	6.091127	6.089326	6.087732	6.086321	6.085071	6.083966	6.082991	6.082135	6.081385	6.080735	6.080176	6.079703	6.079310	6.078994	6.078752	6.078580	6.078478	6.078444
8.876998	8.877586	8.879348	8.882283	8.886389	8.891663	8.898098	8.905692	8.914437	8.924326	8.935353	8.947508	8.960783	8.975168	8.990654	9.007231	9.024887	9.043613	9.063398	9.084230	9.106098	9.128992	9.152901	9.177813	9.203718	9.230604	9.258462	9.287282	9.317051	9.347761	9.379400	9.411959	9.445426	9.479791	9.515041	9.474721	9.406418	9.338820	9.271999	9.206037	9.141020	9.077043	9.014214	8.952647	8.892472	8.833834	8.776894	8.721830	8.668843	8.618153	8.618153	8.580888	8.545016	8.510776	8.478455	8.448392	8.420985	8.396695	8.376041	8.359592	8.347948	8.341704	8.341407	8.347498	8.360267	8.379809	8.406007	8.438543	8.476923	8.520512	8.568570	8.620265	8.674678	8.730774	8.787361	8.843015	8.896026	8.944402	8.986043	9.019195	9.043024	9.057931	9.065290	9.066865	9.064324	9.059020	9.051969	9.043905	9.035350	9.026674	9.018139	9.009930	9.002180	8.994984	8.988406	8.982493	8.977277	8.972777	8.969006	8.965972	8.965972	8.964405	8.966630	8.972562	8.982085	8.995059	9.011328	9.030722	9.053052	9.078106	9.105625	9.135275	9.166574	9.198759	9.230492	9.259211	9.279748	9.282465	9.256005	9.199566	9.123989	9.039544	8.952281	8.865694	8.782140	8.703531	8.631626	8.568130	8.514644	8.472493	8.442498	8.424769	8.418648	8.422842	8.435666	8.455316	8.480053	8.508301	8.538668	8.569919	8.600935	8.630653	8.658025	8.681983	8.701468	8.715584	8.723973	8.727367	8.727765	8.727539	8.727539	8.744402	8.792700	8.866878	8.960633	9.059036	9.055474	9.051383	9.046812	9.041815	9.036449	9.030769	9.024830	9.018685	9.012386	9.005980	8.999512	8.993023	8.986549	8.980124	8.973779	8.967539	8.961428	8.955466	8.949671	8.944056	8.938635	8.933417	8.928412	8.923627	8.919066	8.914735	8.910636	8.906772	8.903144	8.899753	8.896599	8.893683	8.891005	8.888563	8.886358	8.884387	8.882651	8.881149	8.879879	8.878841	8.878034	8.877459	8.877113	8.876998
11.664475	11.657543	11.637563	11.606540	11.566802	11.520398	11.468914	11.413510	11.355028	11.294080	11.231123	11.166505	11.100500	11.033327	10.965167	10.896171	10.826469	10.756174	10.685387	10.614199	10.542689	10.470935	10.399005	10.326964	10.254875	10.182797	10.110785	10.038897	9.967185	9.895703	9.824506	9.753647	9.683181	9.613165	9.543658	9.551165	9.588148	9.625976	9.664629	9.704089	9.744327	9.785312	9.827002	9.869340	9.912247	9.955611	9.999266	10.042951	10.086245	10.128419	10.128419	10.159223	10.187665	10.211971	10.229232	10.235529	10.227899	10.207026	10.176484	10.139906	10.099811	10.057775	10.014797	9.971553	9.928536	9.886132	9.844667	9.804437	9.765727	9.728828	9.694062	9.661803	9.632510	9.606775	9.585377	9.569355	9.560073	9.559207	9.568563	9.589634	9.623003	9.668038	9.723144	9.786341	9.855750	9.929802	10.007255	10.087134	10.168644	10.251098	10.333842	10.416182	10.497294	10.576096	10.651065	10.720018	10.780033	10.828005	10.862177	10.883396	10.883396	10.880519	10.846636	10.796502	10.736468	10.669250	10.596156	10.517942	10.435167	10.348365	10.258138	10.165212	10.070517	9.975310	9.881457	9.792070	9.712881	9.654105	9.627691	9.635064	9.666039	9.711064	9.764890	9.824929	9.889859	9.958946	10.031700	10.107533	10.180713	10.152804	10.097099	10.040087	9.982251	9.923554	9.863877	9.803087	9.741060	9.677710	9.613022	9.547103	9.480256	9.413067	9.346525	9.282128	9.221961	9.168628	9.124884	9.092936	9.073807	9.067488	9.067488	9.067140	9.066101	9.064386	9.062020	9.068555	9.186576	9.311803	9.442204	9.576340	9.713170	9.851913	9.991963	10.132824	10.274066	10.415292	10.556109	10.696095	10.770465	10.804228	10.838867	10.874278	10.910355	10.946992	10.984084	11.021521	11.059194	11.096989	11.134791	11.172479	11.209929	11.247011	11.283589	11.319522	11.354659	11.388843	11.421909	11.453681	11.483977	11.512607	11.539371	11.564069	11.586494	11.606444	11.623723	11.638148	11.649556	11.657808	11.662803	11.664475
